Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,BallCentroidDistanceAtBrimPlane,BallCentroidDistanceMin,DistanceMiss,LateralMiss,LongitudeMiss,BallSpeedMax,BallAltitudeMax,WristSpeedMax,DispatchDistance,DispatchElbowAltitude
1,1,1,Darkness,1,1,Miss,10.413335229886732,10.413335229886732,6.763335229886732,0.0,182.16759999999996,5.446972712805319,76.29850000000003,2.0587874281523075,138.3875,41.139700000000005
1,1,1,Darkness,2,2,Miss,6.714804643472524,6.714804643472524,3.0648046434725247,4.3094,188.91439999999997,5.1376539029018184,80.54799999999999,2.0266747920559847,156.59369999999998,43.72840000000002
1,1,1,Darkness,3,3,Miss,9.277512935048925,9.277512935048925,5.627512935048926,3.0790000000000006,189.26609999999997,5.545548887349163,78.83640000000001,2.148620936366393,150.4608,42.111000000000004
1,1,1,Darkness,4,4,Miss,9.282251255487562,9.282251255487562,5.632251255487563,0.958499999999999,189.82229999999998,5.452735624618103,74.2925,2.300582951338875,146.5057,38.5364
1,1,1,Darkness,5,5,Miss,11.105531503714706,8.452666235573236,4.802666235573237,1.222100000000001,187.617,4.960338715865089,69.58390000000001,2.3759240730939823,148.0358,38.941599999999994
1,1,1,Darkness,6,6,Hit,4.744051068443507,2.222943319115452,0.0,1.2863000000000007,188.4478,4.88833672324818,73.532,2.1907858634922386,146.695,36.61880000000002
1,1,1,Darkness,7,7,Miss,12.347549347947565,12.347549347947565,8.697549347947565,6.913000000000003,188.97689999999997,5.252810480094402,72.73480000000002,2.310347100181518,139.3245,38.63430000000001
1,1,1,Darkness,8,8,Miss,9.673068235570364,9.673068235570364,6.023068235570364,4.4006,188.8207,5.5136827677729805,77.13669999999998,2.1979196975127633,143.59279999999998,39.96459999999999
1,1,1,Darkness,9,9,Miss,11.780619377180482,11.780619377180482,8.130619377180484,4.4187,189.8423,5.147200379161941,74.83800000000001,2.211974784526084,147.67559999999997,38.38080000000001
1,1,1,Darkness,10,10,Miss,11.955312349328231,11.955312349328231,8.305312349328233,2.6652000000000005,189.04389999999998,5.3733858959595935,74.17299999999999,2.1916234710718707,140.2338,39.5894
